iter	Accuracy	MultiClass
439	0.9855509419	0.07692452827
440	0.985543309	0.07670161835
441	0.9856349037	0.07657752314
442	0.9856425366	0.07644500051
443	0.9856578023	0.07636639624
444	0.9856654352	0.07615739237
445	0.9856425366	0.07605788733
446	0.9856959668	0.075903988
447	0.9856959668	0.07580464069
448	0.9857799286	0.07572294504
449	0.9858486246	0.07557808344
450	0.9858715232	0.07551894278
451	0.9859402192	0.07542030506
452	0.9859173206	0.07536670529
453	0.9860012823	0.07526207277
454	0.9860318139	0.07512149048
455	0.9859325863	0.07493751756
456	0.9860165481	0.07482906056
457	0.9860547125	0.07466405369
458	0.9861310414	0.07450402637
459	0.9862608005	0.07434013061
460	0.9863065979	0.07422509416
461	0.9863523952	0.07417163581
462	0.9863523952	0.07399701453
463	0.9864668885	0.07388251737
464	0.9864592556	0.07376290006
465	0.9864974201	0.07359008545
466	0.9864592556	0.07350236504
467	0.9864897872	0.07331930054
468	0.9865813819	0.07317495584
469	0.9865508503	0.07307082435
470	0.9867187739	0.07292509245
471	0.9866729765	0.0727920402
472	0.986779837	0.07271005592
473	0.9868332672	0.07257249333
474	0.9868943303	0.07247376791
475	0.9868637987	0.07238890756
476	0.9868790645	0.07229618189
477	0.986917229	0.07218988801
478	0.9869630263	0.07210341304
479	0.9869553934	0.07200766171
480	0.9869706592	0.07188052684
481	0.9869782921	0.07181328094
482	0.9869782921	0.0717328063
483	0.9870088236	0.07161952714
484	0.9870164565	0.07144416109
485	0.9871538485	0.07127239733
486	0.9871843801	0.0711360326
487	0.9871538485	0.07096742513
488	0.9871309498	0.07084631547
489	0.9870775196	0.07079687452
490	0.9871462156	0.07065372694
491	0.9871767472	0.07049480754
492	0.9872683418	0.07031080902
493	0.9872454432	0.07013724295
494	0.9872301774	0.06997323993
495	0.9873446707	0.06988963202
496	0.9873446707	0.06980848117
497	0.9873752023	0.06963359538
498	0.987390468	0.06953586959
499	0.9873981009	0.06948540286
