iter	Passed	Remaining
399	34695	8673
400	34772	8584
401	34849	8495
402	34940	8410
403	35038	8326
404	35153	8245
405	35232	8157
406	35306	8067
407	35378	7977
408	35460	7889
409	35546	7802
410	35646	7719
411	35717	7628
412	35785	7538
413	35865	7450
414	35949	7363
415	36029	7275
416	36112	7187
417	36198	7101
418	36280	7013
419	36352	6924
420	36438	6837
421	36524	6750
422	36613	6664
423	36681	6575
424	36749	6485
425	36842	6399
426	36914	6310
427	36982	6221
428	37076	6136
429	37153	6048
430	37231	5960
431	37306	5872
432	37378	5783
433	37451	5695
434	37527	5607
435	37602	5519
436	37677	5431
437	37758	5344
438	37829	5256
439	37915	5170
440	37999	5083
441	38075	4996
442	38151	4908
443	38224	4821
444	38305	4734
445	38384	4647
446	38468	4561
447	38548	4474
448	38620	4386
449	38694	4299
450	38764	4211
451	38842	4124
452	38915	4037
453	38984	3949
454	39066	3863
455	39153	3778
456	39229	3691
457	39325	3606
458	39415	3520
459	39504	3435
460	39580	3348
461	39659	3261
462	39746	3176
463	39823	3089
464	39896	3002
465	39980	2917
466	40052	2830
467	40134	2744
468	40226	2658
469	40306	2572
470	40380	2486
471	40461	2400
472	40538	2314
473	40623	2228
474	40696	2141
475	40777	2056
476	40854	1969
477	40929	1883
478	41010	1797
479	41082	1711
480	41172	1626
481	41244	1540
482	41319	1454
483	41415	1369
484	41495	1283
485	41573	1197
486	41657	1111
487	41744	1026
488	41821	940
489	41899	855
490	41993	769
491	42077	684
492	42163	598
493	42245	513
494	42327	427
495	42401	341
496	42488	256
497	42575	170
498	42649	85
499	42718	0
